ScoreId,GameId,PlayerId,Rank,RawScore,Score,
292,68,31,3,0,-13,
293,68,65,4,0,-40,
294,69,98,1,0,23,
295,69,39,2,0,12,
296,69,84,3,0,-10,
297,69,23,4,0,-25,
298,70,98,1,0,49,
299,70,6,2,0,24,
300,70,65,3,0,-4,
301,70,84,4,0,-21,
302,70,12,5,0,-48,
303,71,31,1,0,32,
304,71,23,2,0,7,
305,71,70,3,0,7,
306,71,39,4,0,-16,
307,71,52,5,0,-30,
308,72,39,1,0,38,
309,72,6,2,0,9,
310,72,98,3,0,-3,
311,72,23,4,0,-44,
312,73,52,1,0,29,
313,73,12,2,0,3,
314,73,6,3,0,-8,
315,73,84,4,0,-24,
316,74,61,1,0,44,
317,74,39,2,0,10,
318,74,52,3,0,-4,
319,74,84,4,0,-18,
320,74,12,5,0,-32,
321,75,98,1,0,29,
322,75,31,2,0,13,
323,75,23,3,0,-9,
324,75,42,4,0,-33,
325,76,31,1,0,28,
326,76,67,2,0,2,
327,76,84,3,0,-9,
328,76,61,4,0,-21,
329,77,23,1,0,29,
330,77,98,2,0,7,
331,77,39,3,0,-7,
332,77,52,4,0,-29,
333,78,66,1,0,52,
334,78,39,2,0,13,
335,78,23,3,0,-5,
336,78,52,4,0,-60,
337,79,31,1,0,61,
338,79,84,2,0,-8,
339,79,98,3,0,-20,
340,79,52,4,0,-33,
341,80,39,1,0,43,
342,80,31,2,0,17,
343,80,84,3,0,5,
344,80,6,4,0,-22,
345,80,98,5,0,-43,
346,81,23,1,0,23,
347,81,39,2,0,11,
348,81,22,3,0,-6,
349,81,84,4,0,-28,
350,82,52,1,0,76,
351,82,45,2,0,-10,
352,82,66,3,0,-23,
353,82,47,4,0,-43,
354,83,45,1,0,44,
355,83,47,2,0,13,
356,83,22,3,0,-7,
357,83,55,4,0,-50,
358,84,23,1,0,39,
359,84,39,2,0,7,
360,84,61,3,0,-14,
361,84,66,4,0,-32,
362,85,52,1,0,47,
363,85,98,2,0,17,
364,85,31,3,0,-22,
365,85,84,4,0,-42,
366,86,84,1,0,35,
367,86,52,2,0,18,
368,86,22,3,0,5,
369,86,45,4,0,-16,
370,86,55,5,0,-42,
371,87,47,1,0,33,
372,87,39,2,0,14,
373,87,31,3,0,3,
374,87,98,4,0,-19,
375,87,23,5,0,-31,
376,88,61,1,0,48,
377,88,52,2,0,11,
378,88,84,3,0,0,
379,88,13,4,0,-10,
380,88,55,5,0,-49,
381,89,55,1,0,55,
382,89,23,2,0,14,
383,89,45,3,0,4,
384,89,12,4,0,-22,
385,89,47,5,0,-51,
386,90,13,1,0,26,
387,90,39,2,0,11,
388,90,98,3,0,-11,
389,90,22,4,0,-26,
390,91,61,1,0,38,
391,91,31,2,0,8,
392,91,52,3,0,-12,
393,91,66,4,0,-34,
394,92,6,1,0,48,
395,92,84,2,0,4,
396,92,47,3,0,-17,
397,92,52,4,0,-35,
398,93,66,1,0,102,
399,93,22,2,0,1,
400,93,13,3,0,-18,
401,93,39,4,0,-28,
402,93,31,5,0,-57,
403,94,23,1,0,37,
404,94,98,2,0,7,
405,94,45,3,0,-14,
406,94,55,4,0,-30,
407,95,21,1,0,27,
408,95,31,2,0,5,
